Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 21 22:23:32 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_bucket
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------+--------+-------------+
| Net Name               | Fanout | Driver Type |
| muon_cand_2.roi[7]     |    255 | FDRE        |
| muon_cand_2.sector[1]  |    255 | FDRE        |
| muon_cand_2.sector[2]  |    255 | FDRE        |
| muon_cand_2.sector[3]  |    255 | FDRE        |
| muon_cand_4.roi[1]     |    255 | FDRE        |
| muon_cand_4.roi[3]     |    255 | FDRE        |
| muon_cand_4.sector[2]  |    255 | FDRE        |
| muon_cand_4.sector[3]  |    255 | FDRE        |
| muon_cand_5.roi[0]     |    254 | FDRE        |
| muon_cand_5.roi[1]     |    254 | FDRE        |
| muon_cand_5.roi[2]     |    254 | FDRE        |
| muon_cand_5.roi[3]     |    254 | FDRE        |
| muon_cand_5.roi[4]     |    254 | FDRE        |
| muon_cand_5.roi[5]     |    254 | FDRE        |
| muon_cand_5.roi[6]     |    254 | FDRE        |
| muon_cand_5.roi[7]     |    254 | FDRE        |
| muon_cand_5.sector[1]  |    254 | FDRE        |
| muon_cand_5.sector[2]  |    254 | FDRE        |
| muon_cand_5.sector[3]  |    254 | FDRE        |
| muon_cand_1.roi[4]     |    253 | FDRE        |
| muon_cand_0.roi[4]     |    252 | FDRE        |
| muon_cand_0.sector[3]  |    252 | FDRE        |
| muon_cand_1.roi[3]     |    252 | FDRE        |
| muon_cand_0.roi[0]     |    251 | FDRE        |
| muon_cand_0.roi[1]     |    251 | FDRE        |
| muon_cand_0.roi[2]     |    251 | FDRE        |
| muon_cand_0.roi[3]     |    251 | FDRE        |
| muon_cand_0.roi[5]     |    251 | FDRE        |
| muon_cand_0.roi[6]     |    251 | FDRE        |
| muon_cand_0.roi[7]     |    251 | FDRE        |
| muon_cand_1.roi[0]     |    251 | FDRE        |
| muon_cand_1.roi[2]     |    251 | FDRE        |
| muon_cand_1.roi[6]     |    251 | FDRE        |
| muon_cand_1.roi[7]     |    251 | FDRE        |
| muon_cand_0.sector[1]  |    250 | FDRE        |
| muon_cand_1.sector[1]  |    250 | FDRE        |
| muon_cand_6.roi[0]     |    250 | FDRE        |
| muon_cand_6.roi[1]     |    250 | FDRE        |
| muon_cand_6.roi[2]     |    250 | FDRE        |
| muon_cand_6.roi[3]     |    250 | FDRE        |
| muon_cand_6.roi[4]     |    250 | FDRE        |
| muon_cand_6.roi[5]     |    250 | FDRE        |
| muon_cand_6.roi[6]     |    250 | FDRE        |
| muon_cand_6.roi[7]     |    250 | FDRE        |
| muon_cand_6.sector[1]  |    250 | FDRE        |
| muon_cand_6.sector[2]  |    250 | FDRE        |
| muon_cand_6.sector[3]  |    250 | FDRE        |
| muon_cand_7.roi[0]     |    249 | FDRE        |
| muon_cand_7.roi[1]     |    249 | FDRE        |
| muon_cand_7.roi[2]     |    249 | FDRE        |
| muon_cand_7.roi[3]     |    249 | FDRE        |
| muon_cand_7.roi[4]     |    249 | FDRE        |
| muon_cand_7.roi[5]     |    249 | FDRE        |
| muon_cand_7.roi[6]     |    249 | FDRE        |
| muon_cand_7.roi[7]     |    249 | FDRE        |
| muon_cand_7.sector[1]  |    249 | FDRE        |
| muon_cand_7.sector[2]  |    249 | FDRE        |
| muon_cand_7.sector[3]  |    249 | FDRE        |
| muon_cand_8.roi[0]     |    248 | FDRE        |
| muon_cand_8.roi[1]     |    248 | FDRE        |
| muon_cand_8.roi[2]     |    248 | FDRE        |
| muon_cand_8.roi[3]     |    248 | FDRE        |
| muon_cand_8.roi[4]     |    248 | FDRE        |
| muon_cand_8.roi[5]     |    248 | FDRE        |
| muon_cand_8.roi[6]     |    248 | FDRE        |
| muon_cand_8.roi[7]     |    248 | FDRE        |
| muon_cand_8.sector[1]  |    248 | FDRE        |
| muon_cand_8.sector[2]  |    248 | FDRE        |
| muon_cand_8.sector[3]  |    248 | FDRE        |
| muon_cand_9.roi[0]     |    247 | FDRE        |
| muon_cand_9.roi[1]     |    247 | FDRE        |
| muon_cand_9.roi[2]     |    247 | FDRE        |
| muon_cand_9.roi[3]     |    247 | FDRE        |
| muon_cand_9.roi[4]     |    247 | FDRE        |
| muon_cand_9.roi[5]     |    247 | FDRE        |
| muon_cand_9.roi[6]     |    247 | FDRE        |
| muon_cand_9.roi[7]     |    247 | FDRE        |
| muon_cand_9.sector[1]  |    247 | FDRE        |
| muon_cand_9.sector[2]  |    247 | FDRE        |
| muon_cand_9.sector[3]  |    247 | FDRE        |
| muon_cand_10.roi[0]    |    246 | FDRE        |
| muon_cand_10.roi[1]    |    246 | FDRE        |
| muon_cand_10.roi[2]    |    246 | FDRE        |
| muon_cand_10.roi[3]    |    246 | FDRE        |
| muon_cand_10.roi[4]    |    246 | FDRE        |
| muon_cand_10.roi[5]    |    246 | FDRE        |
| muon_cand_10.roi[6]    |    246 | FDRE        |
| muon_cand_10.roi[7]    |    246 | FDRE        |
| muon_cand_10.sector[1] |    246 | FDRE        |
| muon_cand_10.sector[2] |    246 | FDRE        |
| muon_cand_10.sector[3] |    246 | FDRE        |
| muon_cand_11.roi[0]    |    245 | FDRE        |
| muon_cand_11.roi[1]    |    245 | FDRE        |
| muon_cand_11.roi[2]    |    245 | FDRE        |
| muon_cand_11.roi[3]    |    245 | FDRE        |
| muon_cand_11.roi[4]    |    245 | FDRE        |
| muon_cand_11.roi[5]    |    245 | FDRE        |
| muon_cand_11.roi[6]    |    245 | FDRE        |
| muon_cand_11.roi[7]    |    245 | FDRE        |
| muon_cand_11.sector[1] |    245 | FDRE        |
| muon_cand_11.sector[2] |    245 | FDRE        |
| muon_cand_11.sector[3] |    245 | FDRE        |
| muon_cand_12.roi[0]    |    244 | FDRE        |
| muon_cand_12.roi[1]    |    244 | FDRE        |
| muon_cand_12.roi[2]    |    244 | FDRE        |
| muon_cand_12.roi[3]    |    244 | FDRE        |
| muon_cand_12.roi[4]    |    244 | FDRE        |
| muon_cand_12.roi[5]    |    244 | FDRE        |
| muon_cand_12.roi[6]    |    244 | FDRE        |
| muon_cand_12.roi[7]    |    244 | FDRE        |
| muon_cand_12.sector[1] |    244 | FDRE        |
| muon_cand_12.sector[2] |    244 | FDRE        |
| muon_cand_12.sector[3] |    244 | FDRE        |
| muon_cand_13.roi[0]    |    243 | FDRE        |
| muon_cand_13.roi[1]    |    243 | FDRE        |
| muon_cand_13.roi[2]    |    243 | FDRE        |
| muon_cand_13.roi[3]    |    243 | FDRE        |
| muon_cand_13.roi[4]    |    243 | FDRE        |
| muon_cand_13.roi[5]    |    243 | FDRE        |
| muon_cand_13.roi[6]    |    243 | FDRE        |
| muon_cand_13.roi[7]    |    243 | FDRE        |
| muon_cand_13.sector[1] |    243 | FDRE        |
| muon_cand_13.sector[2] |    243 | FDRE        |
| muon_cand_13.sector[3] |    243 | FDRE        |
| muon_cand_14.roi[0]    |    242 | FDRE        |
| muon_cand_14.roi[1]    |    242 | FDRE        |
| muon_cand_14.roi[2]    |    242 | FDRE        |
| muon_cand_14.roi[3]    |    242 | FDRE        |
| muon_cand_14.roi[4]    |    242 | FDRE        |
| muon_cand_14.roi[5]    |    242 | FDRE        |
| muon_cand_14.roi[6]    |    242 | FDRE        |
| muon_cand_14.roi[7]    |    242 | FDRE        |
| muon_cand_14.sector[1] |    242 | FDRE        |
| muon_cand_14.sector[2] |    242 | FDRE        |
| muon_cand_14.sector[3] |    242 | FDRE        |
| muon_cand_3.pt[0]      |    242 | FDRE        |
| muon_cand_15.roi[0]    |    241 | FDRE        |
| muon_cand_15.roi[1]    |    241 | FDRE        |
| muon_cand_15.roi[2]    |    241 | FDRE        |
| muon_cand_15.roi[3]    |    241 | FDRE        |
| muon_cand_15.roi[4]    |    241 | FDRE        |
| muon_cand_15.roi[5]    |    241 | FDRE        |
| muon_cand_15.roi[6]    |    241 | FDRE        |
| muon_cand_15.roi[7]    |    241 | FDRE        |
| muon_cand_15.sector[1] |    241 | FDRE        |
| muon_cand_15.sector[2] |    241 | FDRE        |
| muon_cand_15.sector[3] |    241 | FDRE        |
| muon_cand_3.pt[2]      |    239 | FDRE        |
| muon_cand_3.pt[1]      |    232 | FDRE        |
| muon_cand_1.pt[0]      |    223 | FDRE        |
| muon_cand_3.pt[3]      |    223 | FDRE        |
| muon_cand_0.pt[3]      |    222 | FDRE        |
| muon_cand_1.pt[1]      |    222 | FDRE        |
| muon_cand_13.pt[2]     |    222 | FDRE        |
| muon_cand_15.pt[3]     |    221 | FDRE        |
| muon_cand_13.pt[1]     |    219 | FDRE        |
| muon_cand_10.pt[1]     |    216 | FDRE        |
| muon_cand_7.pt[0]      |    216 | FDRE        |
| muon_cand_7.pt[3]      |    215 | FDRE        |
| muon_cand_15.pt[2]     |    214 | FDRE        |
| muon_cand_7.pt[2]      |    214 | FDRE        |
| muon_cand_7.pt[1]      |    213 | FDRE        |
| muon_cand_9.pt[3]      |    211 | FDRE        |
| muon_cand_0.pt[2]      |    210 | FDRE        |
| muon_cand_12.pt[2]     |    210 | FDRE        |
| muon_cand_11.pt[3]     |    208 | FDRE        |
| muon_cand_2.pt[3]      |    205 | FDRE        |
| muon_cand_9.pt[1]      |    203 | FDRE        |
| muon_cand_6.pt[0]      |    202 | FDRE        |
| muon_cand_11.pt[1]     |    201 | FDRE        |
+------------------------+--------+-------------+


